URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/address-type,5.0.0,active,"2.16.840.1.113883.4.642.3.69",AddressType,AddressType,"The type of an address (physical / postal).","StructureDefinition/IneraPatient","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/address-use,5.0.0,active,"2.16.840.1.113883.4.642.3.67",AddressUse,AddressUse,"The use of an address.","StructureDefinition/IneraPatient","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/administrative-gender,5.0.0,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/IneraPatient","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/all-languages,5.0.0,active,"2.16.840.1.113883.4.642.3.21",AllLanguages,All Languages,"This value set includes all possible codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/tk-endpoint,StructureDefinition/tk-organization,StructureDefinition/IneraPatient","Other"
http://hl7.org/fhir/ValueSet/endpoint-connection-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.498,2.16.840.1.113883.4.642.3.491",EndpointConnectionType,Endpoint Connection Type,"This is an example value set defined by the FHIR project, that could be used to represent possible connection type profile values.","StructureDefinition/tk-endpoint","THO"
http://hl7.org/fhir/ValueSet/endpoint-environment,5.0.0,draft,"2.16.840.1.113883.4.642.3.3184",EndpointEnvironment,Endpoint Environment,"The environment type of the endpoint.","StructureDefinition/tk-endpoint","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/endpoint-payload-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.496,2.16.840.1.113883.4.642.3.489",EndpointPayloadType,Endpoint Payload Type,"This is an example value set defined by the FHIR project, that could be used to represent possible payload document types.","StructureDefinition/tk-endpoint","THO"
http://hl7.org/fhir/ValueSet/endpoint-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.487,2.16.840.1.113883.4.642.3.494",EndpointStatus,Endpoint Status,"The status of the endpoint.","StructureDefinition/tk-endpoint","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/identifier-type,5.0.0,active,"2.16.840.1.113883.4.642.3.45",IdentifierTypeCodes,Identifier Type Codes,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/tk-organization,StructureDefinition/IneraPatient","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,5.0.0,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/tk-organization,StructureDefinition/IneraPatient","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/languages,5.0.0,active,"2.16.840.1.113883.4.642.3.891,2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (see http://tools.ietf.org/html/bcp47)","StructureDefinition/tk-endpoint,StructureDefinition/tk-organization,StructureDefinition/IneraPatient","Other"
http://hl7.org/fhir/ValueSet/link-type,5.0.0,active,"2.16.840.1.113883.4.642.2.234,2.16.840.1.113883.4.642.3.423,2.16.840.1.113883.4.642.3.412",LinkType,Link Type,"The type of link between this Patient resource and another Patient/RelatedPerson resource.","StructureDefinition/IneraPatient","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/marital-status,5.0.0,active,"2.16.840.1.113883.4.642.3.29",MaritalStatusCodes,Marital Status Codes,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/IneraPatient","THO (V3)"
http://hl7.org/fhir/ValueSet/mimetypes,5.0.0,active,"2.16.840.1.113883.4.642.3.1024",MimeTypes,Mime Types,"This value set includes all possible codes from BCP-13 (see http://tools.ietf.org/html/bcp13)","StructureDefinition/tk-endpoint","Other"
http://hl7.org/fhir/ValueSet/name-use,5.0.0,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/IneraPatient","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/organization-type,5.0.0,draft,"2.16.840.1.113883.4.642.2.228,2.16.840.1.113883.4.642.3.414,2.16.840.1.113883.4.642.3.403",OrganizationType,Organization Type,"This example value set defines a set of codes that can be used to indicate a type of organization.","StructureDefinition/tk-organization","THO"
http://hl7.org/fhir/ValueSet/patient-contactrelationship,5.0.0,active,"2.16.840.1.113883.4.642.3.1130",PatientContactRelationship,Patient Contact Relationship ,"The nature of the relationship between the patient and the contact person.","StructureDefinition/IneraPatient","THO (V2)"
https://fhir.inera.se/ig/tjanstekatalog/ValueSet/tk-endpoint-security-method,0.1.0,draft,,TKEndpointSecurityMethodVS,Säkerhetsmetoder för tekniska ändpunkter,"Tillåtna värden för Ändpunkt.säkerhetsmetod. Exempelbindning (example) i detta utkast — se REQ-END-6.","StructureDefinition/tk-endpoint-security-method","Internal"
