Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-inera.tjanstekatalog.json	14741	-	0	0	0	0	0	0	22	193	0	0	0	0	0	0	0	2	0	0	0	181	364	0	0	0	3	0	0
fsh-generated/resources/ActorDefinition-tk-organization-endpoint-writer.json	1207	6	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	31	118	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-tk-admin-api.json	4848	8	0	0	1	0	0	0	3	21	0	0	0	0	0	0	0	0	0	0	0	72	170	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-tk-organization-endpoint-writer.json	2320	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	34	60	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-tk-endpoint-security-method.json	1512	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	21	202	0	0	0	0	0	0
fsh-generated/resources/Endpoint-TKEndpointExample.json	1836	5	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	1	0	0	0	20	30	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-tk-endpoint-add-organization-to-endpoint.json	2276	9	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	22	29	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-tk-endpoint-remove-organization-from-endpoint.json	2398	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	23	21	0	0	0	2	0	0
fsh-generated/resources/Organization-TKOrganizationExample.json	411	2	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0
fsh-generated/resources/Patient-IneraPatientExample.json	671	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/Requirements-tk-tjanstekatalog-requirements.json	10952	7	0	0	1	0	0	0	4	26	0	0	0	0	0	0	0	0	0	0	0	98	148	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-tk-endpoint-listed-by.json	1414	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	23	31	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IneraPatient.json	3288	10	0	91	0	0	0	0	0	721	0	0	1	0	0	0	0	1	0	0	0	378	2062	0	0	0	12	0	4
fsh-generated/resources/StructureDefinition-tk-api-specification.json	7114	11	0	15	0	0	0	0	0	24	0	0	0	0	0	0	0	2	0	0	0	96	439	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-tk-endpoint-authorization-server-url.json	2055	3	0	15	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	60	229	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-tk-endpoint-payload-profile.json	2062	2	0	11	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	57	212	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-tk-endpoint-security-method.json	1954	2	0	9	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	100	156	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tk-endpoint.json	7132	6	0	49	17	0	0	0	0	48	0	0	1	0	0	0	0	0	0	0	0	203	694	0	0	0	6	1	0
fsh-generated/resources/StructureDefinition-tk-indexpost.json	2809	3	0	8	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	47	267	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-tk-organization.json	4042	3	0	47	20	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	0	168	757	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-tk-vard-och-omsorgstagare.json	1920	2	0	5	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	35	166	0	0	0	1	0	0
fsh-generated/resources/ValueSet-tk-endpoint-security-method.json	591	1	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	17	125	0	0	0	0	0	0
/input/includes/fragment-css.html	160	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
/input/includes/menu.xml	2776	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/includes/fragment-header.html	172	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1556	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/version-history.md	1211	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/information-basis.md	2144	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/capabilitystatement.md	1591	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/use-cases.md	1723	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/about.md	726	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
